"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"UP","(주)레드스톤시스템","25331307","데스크톱컴퓨터, 레드스톤시스템, DMY-3766HLT, Intel Core i7 13700(2.1GHz)","1469000","1469000","1469000","1467500","1467500","1762000","294500","2029.09.30"
"SAME","삼호글로벌 주식회사","25193215","데스크톱컴퓨터, 삼호글로벌, KOPS-F12S55-HHN, Intel Core i7 1255U(1.7GHz)","1469500","1469500","1469500","1469500","1469500",,"0","2029.04.22"
"SAME","주식회사 스마트인디지털","25653030","데스크톱컴퓨터, 스마트인디지털, SLM5-PGESBT(406), Intel Core i5-14500(2.6GHz)","1475000","1475000","1475000","1469500","1469500",,"0","2029.09.30"
"SAME","주식회사 주연테크","25694277","데스크톱컴퓨터, 주연테크, JS-U52F1T2TS, Intel Core Ultra 5 245K(4.2GHz)","1478400","1478400","1478400","","",,"0","2029.09.30"
"UP","주식회사 주연테크","25694247","데스크톱컴퓨터, 주연테크, JA-U52F1T2TS, Intel Core Ultra 5 245K(4.2GHz)","1478400","1478400","1478400","1475000","1475000","1478400","3400","2029.09.30"
"UP","주식회사 서버앤컴퓨터","24589662","데스크톱컴퓨터, 서버앤컴퓨터, DODE-T71625R50, Intel Core i7 12700(2.1GHz)","1484000","1484000","1484000","1482900","1482900","1484000","1100","2026.04.29"
"SAME","주식회사 대우루컴즈","25563993","데스크톱컴퓨터, 대우루컴즈, DT367B-476508, Intel Core i7 14700(2.1GHz)","1485000","1485000","1485000","1484000","1484000",,"0","2029.09.30"
"SAME","주식회사 에이텍컴퓨터","25569895","데스크톱컴퓨터, 에이텍컴퓨터, A4TQ-7HBDN, Intel Core i7 14700(2.1GHz)","1485000","1485000","1485000","1485000","1485000",,"0","2029.09.30"
"SAME","주식회사 비엔피","24663407","데스크톱컴퓨터, 비엔피, B7M-2T16S5H1/G35, Intel Core i7 12700(2.1GHz)","1497000","1497000","1497000","1485000","1485000",,"0","2029.09.30"
"UP","주식회사 티원엘에스","25855496","데스크톱컴퓨터, 티원엘에스, TMB-D71925S, Intel Core i7 14700(2.1GHz)","1500600","1500600","1500600","1499400","1499400","1712700","213300","2029.03.18"
"UP","주식회사 에이치케이시스템","25769843","데스크톱컴퓨터, 에이치케이시스템, HTC5-BY5050, Intel Core i5 14500(2.6GHz)","1501000","1501000","1501000","1500600","1500600","1501000","400","2029.09.30"
"UP","주식회사 서버앤컴퓨터","24589663","데스크톱컴퓨터, 서버앤컴퓨터, DODE-T716210R50, Intel Core i7 12700(2.1GHz)","1516000","1516000","1516000","1501000","1501000","1516000","15000","2026.04.29"
"SAME","주식회사 비엔피","24663396","데스크톱컴퓨터, 비엔피, B5M-2T16S5H1/G60, Intel Core i5 12500(3.0GHz)","1516900","1516900","1516900","1516000","1516000",,"0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25770787","데스크톱컴퓨터, 에이치케이시스템, HSC7-BYE0P0, Intel Core i7 14700(2.1GHz)","1517500","1517500","1517500","1517500","1517500","1517500","0","2029.09.30"
"UP","주식회사 에이치케이시스템","25769849","데스크톱컴퓨터, 에이치케이시스템, HTC7-BYE0P0, Intel Core i7 14700(2.1GHz)","1517500","1517500","1517500","1516900","1516900","1517500","600","2029.09.30"
"UP","네오프랜드(주)","25590588","데스크톱컴퓨터, 네오프랜드, NDI54M4-C15A, Intel Core i5 14500(2.6GHz)","1522000","1522000","1522000","1517500","1517500","1522000","4500","2026.08.03"
"SAME","주식회사 인텍","25822917","데스크톱컴퓨터, 인텍, ITA176-T4532307, IntelCore i5-14500(2.6GHz)","1523000","1523000","1523000","1522000","1522000",,"0","2029.03.14"
"SAME","주식회사 인텍","25319770","데스크톱컴퓨터, 인텍, IT176-T3516327, Intel Core i5-13500(2.5GHz)","1524900","1524900","1524900","1523000","1523000",,"0","2029.03.14"
"SAME","주식회사 트리엠","25726669","데스크톱컴퓨터, 트리엠, TX4-RB7-506R46, Intel Core i7-14700(2.1GHz)","1545900","","","","",,"0","2029.06.25"
"SAME","삼호글로벌 주식회사","25495050","데스크톱컴퓨터, 삼호글로벌, KOPS-14ULTRA5-325NN, Intel CoreULTRA5-125H(3.6GHz)","1547100","1547100","","1524900","1524900",,"0","2029.04.22"
